PROVINCIA,NOME_PROVINCIA,REGIONE,NOME_REGIONE,MESE_DECESSO,GIORNO_DECESSO,DECESSI_2015,DECESSI_2016,DECESSI_2017,DECESSI_2018,DECESSI_2019
001,Torino,01,Piemonte,1,1,66,59,73,116,90
001,Torino,01,Piemonte,1,2,80,75,115,110,88
001,Torino,01,Piemonte,1,3,78,66,105,108,61
001,Torino,01,Piemonte,1,4,85,86,101,127,83
001,Torino,01,Piemonte,1,5,94,66,101,121,99
001,Torino,01,Piemonte,1,6,89,72,85,126,69
001,Torino,01,Piemonte,1,7,93,69,98,123,88
001,Torino,01,Piemonte,1,8,76,81,104,113,77
001,Torino,01,Piemonte,1,9,87,70,105,102,84
001,Torino,01,Piemonte,1,10,83,69,127,124,86
001,Torino,01,Piemonte,1,11,82,72,109,101,86
001,Torino,01,Piemonte,1,12,86,65,93,117,86
001,Torino,01,Piemonte,1,13,78,60,108,99,73
001,Torino,01,Piemonte,1,14,94,71,102,88,100
001,Torino,01,Piemonte,1,15,87,80,87,109,85
001,Torino,01,Piemonte,1,16,84,60,108,111,82
001,Torino,01,Piemonte,1,17,69,58,108,106,84
001,Torino,01,Piemonte,1,18,85,81,103,88,82
001,Torino,01,Piemonte,1,19,83,81,94,90,83
001,Torino,01,Piemonte,1,20,84,69,87,76,74
001,Torino,01,Piemonte,1,21,96,67,94,84,89
001,Torino,01,Piemonte,1,22,88,71,94,87,85
001,Torino,01,Piemonte,1,23,100,77,94,91,71
001,Torino,01,Piemonte,1,24,98,76,85,96,81
001,Torino,01,Piemonte,1,25,71,74,102,76,89
001,Torino,01,Piemonte,1,26,87,72,89,97,79
001,Torino,01,Piemonte,1,27,85,83,89,100,87
001,Torino,01,Piemonte,1,28,87,82,81,76,76
001,Torino,01,Piemonte,1,29,82,57,91,82,83
001,Torino,01,Piemonte,1,30,96,72,96,87,100
001,Torino,01,Piemonte,1,31,96,77,83,85,92
001,Torino,01,Piemonte,2,1,92,82,96,99,97
001,Torino,01,Piemonte,2,2,92,77,99,79,85
001,Torino,01,Piemonte,2,3,92,72,88,70,90
001,Torino,01,Piemonte,2,4,107,66,91,77,81
001,Torino,01,Piemonte,2,5,79,63,87,88,82
001,Torino,01,Piemonte,2,6,94,75,88,75,96
001,Torino,01,Piemonte,2,7,89,82,100,84,93
001,Torino,01,Piemonte,2,8,95,59,85,70,95
001,Torino,01,Piemonte,2,9,87,68,91,68,75
001,Torino,01,Piemonte,2,10,106,78,73,77,110
001,Torino,01,Piemonte,2,11,86,68,82,78,100
001,Torino,01,Piemonte,2,12,96,76,71,62,92
001,Torino,01,Piemonte,2,13,95,68,79,70,96
001,Torino,01,Piemonte,2,14,81,74,86,86,97
001,Torino,01,Piemonte,2,15,103,77,79,74,94
001,Torino,01,Piemonte,2,16,85,72,68,84,88
001,Torino,01,Piemonte,2,17,97,69,87,82,107
001,Torino,01,Piemonte,2,18,91,52,94,87,87
001,Torino,01,Piemonte,2,19,76,60,69,74,95
001,Torino,01,Piemonte,2,20,95,72,59,62,86
001,Torino,01,Piemonte,2,21,101,76,71,80,83
001,Torino,01,Piemonte,2,22,85,64,74,83,84
001,Torino,01,Piemonte,2,23,82,55,70,74,71
001,Torino,01,Piemonte,2,24,65,72,78,68,75
001,Torino,01,Piemonte,2,25,82,63,73,66,72
001,Torino,01,Piemonte,2,26,74,70,75,76,60
001,Torino,01,Piemonte,2,27,84,70,84,68,82
001,Torino,01,Piemonte,2,28,73,70,76,87,93
001,Torino,01,Piemonte,2,29,0,80,0,0,0
001,Torino,01,Piemonte,3,1,80,63,83,84,72
001,Torino,01,Piemonte,3,2,88,86,61,77,77
001,Torino,01,Piemonte,3,3,77,74,70,89,80
001,Torino,01,Piemonte,3,4,78,67,74,78,81
001,Torino,01,Piemonte,3,5,83,75,75,83,69
001,Torino,01,Piemonte,3,6,63,72,61,92,75
001,Torino,01,Piemonte,3,7,92,86,86,89,79
001,Torino,01,Piemonte,3,8,61,59,67,78,84
001,Torino,01,Piemonte,3,9,66,68,69,77,79
001,Torino,01,Piemonte,3,10,86,72,82,80,70
001,Torino,01,Piemonte,3,11,80,70,68,87,83
001,Torino,01,Piemonte,3,12,77,87,75,83,67
001,Torino,01,Piemonte,3,13,83,69,85,78,83
001,Torino,01,Piemonte,3,14,90,83,56,92,70
001,Torino,01,Piemonte,3,15,74,69,75,69,75
001,Torino,01,Piemonte,3,16,56,81,63,78,59
001,Torino,01,Piemonte,3,17,73,86,63,74,88
001,Torino,01,Piemonte,3,18,67,73,76,79,68
001,Torino,01,Piemonte,3,19,79,80,79,68,69
001,Torino,01,Piemonte,3,20,60,63,68,72,68
001,Torino,01,Piemonte,3,21,73,81,83,64,75
001,Torino,01,Piemonte,3,22,70,67,79,73,55
001,Torino,01,Piemonte,3,23,60,86,72,73,69
001,Torino,01,Piemonte,3,24,73,75,70,69,73
001,Torino,01,Piemonte,3,25,55,77,62,62,75
001,Torino,01,Piemonte,3,26,75,51,66,78,55
001,Torino,01,Piemonte,3,27,54,74,70,90,60
001,Torino,01,Piemonte,3,28,82,62,64,81,67
001,Torino,01,Piemonte,3,29,73,72,54,84,68
001,Torino,01,Piemonte,3,30,69,94,78,58,70
001,Torino,01,Piemonte,3,31,64,64,68,76,47
001,Torino,01,Piemonte,4,1,73,69,64,74,76
001,Torino,01,Piemonte,4,2,75,75,51,76,87
001,Torino,01,Piemonte,4,3,70,77,69,69,80
001,Torino,01,Piemonte,4,4,69,74,61,67,81
001,Torino,01,Piemonte,4,5,72,66,58,67,71
001,Torino,01,Piemonte,4,6,80,60,58,70,53
001,Torino,01,Piemonte,4,7,70,74,67,53,59
001,Torino,01,Piemonte,4,8,71,60,63,78,68
001,Torino,01,Piemonte,4,9,69,64,51,68,68
001,Torino,01,Piemonte,4,10,91,79,78,66,76
001,Torino,01,Piemonte,4,11,68,62,72,86,62
001,Torino,01,Piemonte,4,12,75,61,67,81,62
001,Torino,01,Piemonte,4,13,75,80,66,68,71
001,Torino,01,Piemonte,4,14,75,71,77,67,70
001,Torino,01,Piemonte,4,15,93,61,66,56,74
001,Torino,01,Piemonte,4,16,76,49,67,71,62
001,Torino,01,Piemonte,4,17,65,70,82,76,75
001,Torino,01,Piemonte,4,18,60,55,58,73,66
001,Torino,01,Piemonte,4,19,70,53,68,73,60
001,Torino,01,Piemonte,4,20,52,53,63,71,62
001,Torino,01,Piemonte,4,21,83,61,53,61,70
001,Torino,01,Piemonte,4,22,68,59,49,63,45
001,Torino,01,Piemonte,4,23,91,56,74,63,48
001,Torino,01,Piemonte,4,24,63,49,77,77,50
001,Torino,01,Piemonte,4,25,62,48,82,77,34
001,Torino,01,Piemonte,4,26,43,59,60,85,56
001,Torino,01,Piemonte,4,27,60,65,72,55,46
001,Torino,01,Piemonte,4,28,59,60,58,64,54
001,Torino,01,Piemonte,4,29,64,59,63,48,57
001,Torino,01,Piemonte,4,30,80,71,64,63,53
002,Vercelli,01,Piemonte,1,1,6,6,9,6,9
