REGIONE,NOME_REGIONE,MESE,GIORNO,DECESSI_2015,DECESSI_2016,DECESSI_2017,DECESSI_2018,DECESSI_2019
01,Piemonte,1,1,137,148,173,220,180
01,Piemonte,1,2,175,150,227,220,171
01,Piemonte,1,3,160,135,209,209,150
01,Piemonte,1,4,174,155,188,243,144
01,Piemonte,1,5,192,146,232,241,174
01,Piemonte,1,6,181,155,181,234,150
01,Piemonte,1,7,185,142,215,209,171
01,Piemonte,1,8,177,154,233,217,164
01,Piemonte,1,9,179,160,194,220,148
01,Piemonte,1,10,181,148,210,231,174
01,Piemonte,1,11,168,165,210,203,156
01,Piemonte,1,12,167,153,205,237,182
01,Piemonte,1,13,187,141,222,211,153
01,Piemonte,1,14,192,141,201,207,182
01,Piemonte,1,15,175,162,191,224,175
01,Piemonte,1,16,173,137,227,224,162
01,Piemonte,1,17,183,129,202,200,176
01,Piemonte,1,18,181,183,207,191,184
01,Piemonte,1,19,172,156,202,196,183
01,Piemonte,1,20,164,158,188,163,154
01,Piemonte,1,21,187,157,219,179,176
01,Piemonte,1,22,181,156,196,205,171
01,Piemonte,1,23,203,156,211,196,154
01,Piemonte,1,24,198,163,181,187,172
01,Piemonte,1,25,161,167,211,163,174
01,Piemonte,1,26,167,158,173,191,167
01,Piemonte,1,27,188,173,187,191,167
01,Piemonte,1,28,199,161,160,158,168
01,Piemonte,1,29,167,132,172,182,167
01,Piemonte,1,30,186,154,182,186,173
01,Piemonte,1,31,183,149,179,172,190
01,Piemonte,2,1,188,154,189,198,193
01,Piemonte,2,2,199,155,182,185,195
01,Piemonte,2,3,207,134,192,143,200
01,Piemonte,2,4,193,158,182,160,186
01,Piemonte,2,5,175,143,160,178,175
01,Piemonte,2,6,201,160,181,164,193
01,Piemonte,2,7,176,161,193,165,181
01,Piemonte,2,8,189,145,153,152,206
01,Piemonte,2,9,184,132,198,155,171
01,Piemonte,2,10,223,154,166,163,210
01,Piemonte,2,11,187,137,164,167,191
01,Piemonte,2,12,185,147,139,144,177
01,Piemonte,2,13,185,150,184,160,191
01,Piemonte,2,14,181,152,170,162,187
01,Piemonte,2,15,208,163,163,143,195
01,Piemonte,2,16,185,146,154,168,185
01,Piemonte,2,17,184,140,166,162,200
01,Piemonte,2,18,177,134,171,184,190
